time;Va;Vb;Vc;ia;ib;ic;id;iq;Te;theta_r;omega_r;iq_ref;duty_a;duty_b;duty_c
0.000000;0.000000;6.000000;-6.000000;0.000000;0.001200;-0.001200;0.000000;0.000000;0.001767;0.000000;0.000005;4.189314;0.500000;1.000000;0.000000
0.000010;0.000000;6.000000;-6.000000;0.000000;0.002400;-0.002400;0.000000;0.001386;0.003533;0.000000;0.000015;4.189828;0.500000;1.000000;0.000000
0.000020;0.000000;6.000000;-6.000000;0.000000;0.003599;-0.003599;0.000000;0.002771;0.005298;0.000000;0.000029;4.190332;0.500000;1.000000;0.000000
0.000030;0.000000;6.000000;-6.000000;0.000000;0.004798;-0.004798;0.000000;0.004156;0.007064;0.000000;0.000049;4.190826;0.500000;1.000000;0.000000
0.000040;0.000000;6.000000;-6.000000;0.000000;0.005996;-0.005996;0.000000;0.005540;0.008828;0.000000;0.000074;4.191310;0.500000;1.000000;0.000000
0.000050;0.000000;6.000000;-6.000000;0.000000;0.007195;-0.007195;0.000000;0.006924;0.010592;0.000000;0.000103;4.191785;0.500000;1.000000;0.000000
0.000060;0.000000;6.000000;-6.000000;0.000000;0.008392;-0.008392;0.000000;0.008307;0.012355;0.000000;0.000137;4.192250;0.500000;1.000000;0.000000
0.000070;-0.000000;6.000000;-6.000000;-0.000000;0.009590;-0.009590;0.000000;0.009691;0.014118;0.000000;0.000176;4.192704;0.500000;1.000000;0.000000
0.000080;-0.000000;6.000000;-6.000000;-0.000000;0.010787;-0.010787;0.000000;0.011073;0.015881;0.000000;0.000221;4.193150;0.500000;1.000000;0.000000
0.000090;-0.000000;6.000000;-6.000000;-0.000000;0.011983;-0.011983;0.000000;0.012455;0.017642;0.000000;0.000270;4.193585;0.500000;1.000000;0.000000
0.000100;-0.000000;6.000000;-6.000000;-0.000000;0.013180;-0.013180;0.000000;0.013837;0.019404;0.000000;0.000323;4.194011;0.500000;1.000000;0.000000
0.000110;-0.000001;6.000000;-6.000000;-0.000000;0.014375;-0.014375;0.000000;0.015218;0.021164;0.000000;0.000382;4.194426;0.500000;1.000000;0.000000
