time;Va;Vb;Vc;ia;ib;ic;id;iq;Te;theta_r;omega_r;iq_ref;duty_a;duty_b;duty_c
0.000000;-0.000004;27.221729;-27.221733;-0.000000;0.005444;-0.005444;0.000000;0.000000;0.008015;0.000000;0.000022;5.237951;0.500000;0.726848;0.273152
0.000010;0.000000;27.203568;-27.203564;-0.000000;0.010883;-0.010883;-0.000000;0.006287;0.016023;0.000000;0.000067;5.239870;0.500000;0.726696;0.273304
0.000020;0.000000;27.185196;-27.185200;-0.000000;0.016317;-0.016317;-0.000000;0.012567;0.024023;0.000000;0.000133;5.241745;0.500000;0.726543;0.273457
0.000030;0.000000;27.166626;-27.166634;-0.000000;0.021745;-0.021746;-0.000000;0.018841;0.032015;0.000000;0.000222;5.243575;0.500000;0.726389;0.273611
0.000040;0.000000;27.147858;-27.147861;-0.000000;0.027168;-0.027168;0.000000;0.025110;0.039999;0.000000;0.000333;5.245360;0.500000;0.726232;0.273768
0.000050;0.000000;27.128883;-27.128883;-0.000000;0.032586;-0.032586;0.000000;0.031371;0.047974;0.000000;0.000467;5.247101;0.500000;0.726074;0.273926
0.000060;0.000000;27.109711;-27.109711;-0.000000;0.037998;-0.037998;0.000000;0.037627;0.055942;0.000000;0.000622;5.248798;0.500000;0.725914;0.274086
0.000070;-0.000004;27.090340;-27.090336;-0.000000;0.043404;-0.043404;0.000000;0.043876;0.063901;0.000000;0.000799;5.250450;0.500000;0.725753;0.274247
0.000080;-0.000004;27.070755;-27.070759;-0.000000;0.048805;-0.048805;0.000000;0.050119;0.071852;0.000000;0.000999;5.252058;0.500000;0.725590;0.274410
0.000090;-0.000004;27.050983;-27.050976;-0.000000;0.054200;-0.054200;0.000000;0.056355;0.079795;0.000000;0.001220;5.253622;0.500000;0.725425;0.274575
0.000100;-0.000008;27.031010;-27.030998;-0.000000;0.059589;-0.059589;0.000000;0.062584;0.087729;0.000000;0.001464;5.255142;0.500000;0.725258;0.274742
0.000110;-0.000011;27.010826;-27.010826;-0.000000;0.064972;-0.064972;0.000000;0.068807;0.095655;0.000000;0.001730;5.256617;0.500000;0.725090;0.274910
0.000120;-0.000011;26.990452;-26.990444;-0.000000;0.070350;-0.070350;0.000000;0.075024;0.103572;0.000000;0.002017;5.258048;0.500000;0.724920;0.275080
0.000130;-0.000019;26.969879;-26.969872;-0.000000;0.075722;-0.075722;0.000000;0.081233;0.111481;0.000000;0.002327;5.259435;0.500000;0.724749;0.275251
