time;Va;Vb;Vc;ia;ib;ic;id;iq;Te;theta_r;omega_r;iq_ref;duty_a;duty_b;duty_c
0.000000;-0.000004;27.221729;-27.221733;-0.000000;0.054443;-0.054443;0.000000;0.000000;0.009430;-0.000000;-0.000726;5.237951;0.500000;0.726848;0.273152
0.000010;0.000000;26.917305;-26.917305;-0.000000;0.108040;-0.108040;-0.000000;0.062866;0.018713;-0.000000;-0.001430;5.241368;0.500000;0.724311;0.275689
0.000020;0.000004;26.617680;-26.617683;0.000000;0.160802;-0.160802;-0.000000;0.124753;0.027852;-0.000000;-0.002110;5.244739;0.500000;0.721814;0.278186
0.000030;0.000015;26.322777;-26.322777;0.000000;0.212742;-0.212742;-0.000000;0.185678;0.036848;-0.000000;-0.002768;5.248065;0.500000;0.719356;0.280644
0.000040;0.000027;26.032505;-26.032516;0.000000;0.263875;-0.263875;-0.000000;0.245654;0.045705;-0.000000;-0.003404;5.251346;0.500000;0.716938;0.283062
0.000050;0.000023;25.746815;-25.746838;0.000000;0.314213;-0.314213;-0.000000;0.304697;0.054423;-0.000000;-0.004018;5.254584;0.500000;0.714557;0.285443
0.000060;0.000031;25.465626;-25.465664;0.000000;0.363767;-0.363767;-0.000000;0.362821;0.063006;-0.000000;-0.004610;5.257778;0.500000;0.712214;0.287786
0.000070;0.000053;25.188862;-25.188900;0.000000;0.412550;-0.412551;-0.000000;0.420042;0.071456;-0.000000;-0.005181;5.260930;0.500001;0.709907;0.290093
0.000080;0.000061;24.916458;-24.916523;0.000000;0.460575;-0.460576;-0.000001;0.476372;0.079774;-0.000000;-0.005732;5.264040;0.500001;0.707637;0.292363
0.000090;0.000065;24.648342;-24.648426;0.000001;0.507853;-0.507854;-0.000001;0.531827;0.087963;-0.000000;-0.006262;5.267109;0.500001;0.705403;0.294597
0.000100;0.000092;24.384468;-24.384556;0.000001;0.554396;-0.554397;-0.000001;0.586419;0.096024;-0.000000;-0.006772;5.270137;0.500001;0.703204;0.296796
0.000110;0.000107;24.124737;-24.124844;0.000001;0.600216;-0.600217;-0.000001;0.640162;0.103961;-0.000001;-0.007262;5.273126;0.500001;0.701040;0.298960
0.000120;0.000126;23.869110;-23.869228;0.000001;0.645323;-0.645324;-0.000002;0.693070;0.111773;-0.000001;-0.007733;5.276075;0.500002;0.698910;0.301090
0.000130;0.000141;23.617504;-23.617638;0.000001;0.689730;-0.689731;-0.000002;0.745156;0.119465;-0.000001;-0.008184;5.278985;0.500002;0.696813;0.303187
0.000140;0.000168;23.369865;-23.370022;0.000002;0.733446;-0.733447;-0.000003;0.796432;0.127037;-0.000001;-0.008616;5.281857;0.500002;0.694750;0.305250
0.000150;0.000179;23.126129;-23.126308;0.000002;0.776483;-0.776485;-0.000003;0.846911;0.134491;-0.000001;-0.009030;5.284692;0.500002;0.692719;0.307282
0.000160;0.000198;22.886227;-22.886433;0.000003;0.818851;-0.818854;-0.000004;0.896606;0.141829;-0.000001;-0.009425;5.287490;0.500003;0.690719;0.309281
0.000170;0.000225;22.650120;-22.650341;0.000003;0.860562;-0.860564;-0.000005;0.945529;0.149054;-0.000001;-0.009803;5.290251;0.500003;0.688752;0.311248
0.000180;0.000244;22.417740;-22.417980;0.000003;0.901624;-0.901628;-0.000005;0.993693;0.156166;-0.000001;-0.010162;5.292977;0.500003;0.686816;0.313185
